nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
BCHB0816SE6;20160927;20220927;TV;7.59;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCHB07169B07;20160211;20230211;TV;4.69;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCHB01139B12;20130911;20250911;TV;5;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCFC1199A003;20190827;20220827;TV;2.16;CFV;CORPORACION FINANCIERA COLOMBIANA CORFICOLOMBIANA;COP
BCCB517SA006;20170524;20230524;TV;6.65;CCB;CEMENTOS ARGOS S.A.;COP
BCCB2209C051;20201125;20250225;TV;2.24;CCB;CEMENTOS ARGOS S.A.;COP
BCCB1099C15;20090428;20240428;TV;7.19;CCB;CEMENTOS ARGOS S.A.;COP
BCCB04169C10;20160413;20260413;TV;4.19;CCB;CEMENTOS ARGOS S.A.;COP
BCCB03149C10;20141127;20241127;TV;3.8;CCB;CEMENTOS ARGOS S.A.;COP
BBTA9217O015;20210225;20360225;AV;3.3;BOG;BOGOTA D.C.;COP
BBTA8209D010;20200521;20300521;TV;3.7;BOG;BOGOTA D.C.;COP
BBTA719SA005;20191024;20241024;TV;5.94;BOG;BOGOTA D.C.;COP
BBTA7199D010;20191024;20291024;TV;2.79;BOG;BOGOTA D.C.;COP
BBSC1179B002;20171122;20261122;TV;4.05;BSC;BANCO GNB SUDAMERIS S.A.;COP
BBPO822SB003;20220310;20250310;TV;10.2;BPO;BANCO POPULAR S.A.;COP
BBPO8228D002;20220310;20240310;MV;2.68;BPO;BANCO POPULAR S.A.;COP
BBPO721SB003;20211111;20241111;TV;7.34;BPO;BANCO POPULAR S.A.;COP
BBPO7219C005;20211111;20261111;TV;3.38;BPO;BANCO POPULAR S.A.;COP
BBPO621SB005;20210715;20260715;TV;6.78;BPO;BANCO POPULAR S.A.;COP
BBPO6219C005;20210715;20260715;TV;2.58;BPO;BANCO POPULAR S.A.;COP
BBPO6218D003;20210715;20240715;MV;1.59;BPO;BANCO POPULAR S.A.;COP
BBPO520SB084;20200204;20270204;TV;6.29;BPO;BANCO POPULAR S.A.;COP
BBPO520SB036;20200204;20230204;TV;5.88;BPO;BANCO POPULAR S.A.;COP
BBPO419SB060;20190213;20240213;TV;6.84;BPO;BANCO POPULAR S.A.;COP
BBPO318SB005;20180508;20230508;TV;6.68;BPO;BANCO POPULAR S.A.;COP
BBPO3189C005;20180508;20230508;TV;3.08;BPO;BANCO POPULAR S.A.;COP
