fecha_hora;nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
2022-09-14:11:24:32.001950;TUVT32160649;15000000;3397788907;71.088;5.93;TRD;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:23:01.001936;TFIT10260331;1000000000;747416000;71.443;12.64;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:22:47.001931;TFIT10260331;1000000000;747016000;71.403;12.65;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:22:04.001927;TFIT10260331;1000000000;747416000;71.443;12.64;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:18:45.001891;TUVT11070525;15000000;4753026955;99.489;3.7;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:18:37.001889;TUVT32160649;15000000;3395382564;71.037;5.935;TRD;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:18:09.990238;BCOS8189B005;500000000;497880000;97.646;16.57;TRD;20181023;20231023;TV;2.82;CHB;ENEL COLOMBIA S.A. E.S.P.
2022-09-14:11:18:09.990237;BBOC1179B144;500000000;447120950;89.424;18.5;TRD;20170427;20290427;TV;3.66;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:11:18:09.990236;BBOC1179B144;500000000;445589500;89.117;18.5;TRD;20170427;20290427;TV;3.66;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:11:17:02.990234;BBOC1069B144;550000000;499092610;90.744;18.56;TRD;20161026;20281026;TV;3.9;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:11:17:02.990233;BBOC1069B144;550000000;497383150;90.433;18.56;TRD;20161026;20281026;TV;3.9;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:11:16:26.001860;TUVT11170327;5000000;1522749382;95.183;4.5;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:07:13.001725;TFIT08261125;1000000000;896810000;84.681;12.303;TRD;20171126;20251126;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:07:00.001717;TUVT11070525;5000000;1584420957;99.494;3.698;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:06:31.001699;TUVT10180429;5000000;1318196098;82.895;5.4;TRD;20190418;20290418;AV;2.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:04:12.001669;TUVT18250237;15000000;3815850843;78.808;5.978;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
